# id, minFeatureCount, addIntercept, priorvariance, initialLearningRate, learningRateDecay, minIMprovement, maxEpochs
1, 1, true, 10000.0, 1.0, 0.999, 0.00001, 3
2, 1, true, 10000.0, 1.0, 0.995, 0.00001, 3
3, 1, true, 10000.0, 1.0, 0.990, 0.00001, 3
4, 1, true, 10000.0, 1.0, 0.950, 0.00001, 3
5, 1, true, 10000.0, 1.0, 0.900, 0.00001, 3

# 6, 1, true, 10000.0, 0.5, 0.999, 0.00001, 10
# 7, 1, true, 10000.0, 0.5, 0.995, 0.00001, 10
# 8, 1, true, 10000.0, 0.5, 0.990, 0.00001, 10
# 9, 1, true, 10000.0, 0.5, 0.950, 0.00001, 10
# 10, 1, true, 10000.0, 0.5, 0.900, 0.00001, 10
#
# 11, 1, true, 10000.0, 0.1, 0.999, 0.00001, 10
# 12, 1, true, 10000.0, 0.1, 0.995, 0.00001, 10
# 13, 1, true, 10000.0, 0.1, 0.990, 0.00001, 10
# 14, 1, true, 10000.0, 0.1, 0.950, 0.00001, 10
# 15, 1, true, 10000.0, 0.1, 0.900, 0.00001, 10
#
# 16, 1, true, 10000.0, 0.05, 0.999, 0.00001, 10
# 17, 1, true, 10000.0, 0.05, 0.995, 0.00001, 10
# 18, 1, true, 10000.0, 0.05, 0.990, 0.00001, 10
# 19, 1, true, 10000.0, 0.05, 0.950, 0.00001, 10
# 20, 1, true, 10000.0, 0.05, 0.900, 0.00001, 10
#
# 21, 1, true, 10000.0, 0.01, 0.999, 0.00001, 10
# 22, 1, true, 10000.0, 0.01, 0.995, 0.00001, 10
# 23, 1, true, 10000.0, 0.01, 0.990, 0.00001, 10
# 24, 1, true, 10000.0, 0.01, 0.950, 0.00001, 10
# 25, 1, true, 10000.0, 0.01, 0.900, 0.00001, 10

